seq_rep	seq_member	antigen_member	pdb_member
seq_172	seq_172	spike_glycoprotein	7tat
seq_172	seq_234	spike_protein_s1	7e3o
seq_174	seq_174	lipoprotein	4nnp
seq_175	seq_175	c-x-c_motif_chemokine_13	5cba
seq_178	seq_178	erythropoietin_receptor	4y5v
seq_180	seq_180	spike_glycoprotein,fibritin	7zrc
seq_182	seq_182	pfs25	6b08
seq_183	seq_183	cap228_autologous_scaffolded_v1v2	6fy1
seq_184	seq_184	spike_glycoprotein	7l2f
seq_185	seq_185	spike_protein_s1	7s4s
seq_185	seq_203	t-cell_immunoreceptor_with_ig_and_itim_domains	7vyt
seq_185	seq_231	imv_membrane_protein	6b9j
seq_186	seq_186	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	6nmu
seq_187	seq_187	1fd6-v1v2_scaffold_zm109_hiv-1_strain	4dqo
seq_188	seq_188	spike_protein_s1	7wi0
seq_189	seq_189	maltose-binding_periplasmic_protein	5bk2
seq_191	seq_191	spike_protein_s1	7fcp
seq_192	seq_192	spike_protein_s1	7vyr
seq_193	seq_193	surface_glycoprotein	7ps7
seq_195	seq_65	spike_protein_s1	8el2
seq_195	seq_195	receptor_tyrosine-protein_kinase_erbb-2	3wlw
seq_196	seq_196	spike_protein_s1	7or9
seq_198	seq_198	cadherin-6	5veb
seq_199	seq_199	hiv-1_hxbc2_gp120_core	3idy
seq_200	seq_200	spike_protein_s1	7np1
seq_202	seq_202	glycoprotein_g2	7s8h
seq_207	seq_207	spike_protein_s1	7r6x
seq_209	seq_209	1fd6_16055_v1v2_scaffold	6was
seq_210	seq_210	hemagglutinin	6pdx
seq_211	seq_211	envelope_glycoprotein_b	7kdd
seq_211	seq_228	envelope_glycoprotein_b	4ot1
seq_212	seq_212	spike_glycoprotein	7ey0
seq_213	seq_213	transmembrane_protein_gp41	2xra
seq_214	seq_26	pro-secreted_protein_orf2	8pmz
seq_214	seq_28	spike_glycoprotein	8jmm
seq_214	seq_94	gametocyte_surface_protein_p230	7uvh
seq_214	seq_106	spike_glycoprotein	7u9o
seq_214	seq_157	tumor_necrosis_factor	5yoy
seq_214	seq_176	surface_glycoprotein	7pry
seq_214	seq_206	leucine-rich_repeat_and_immunoglobulin-like_domain-containing_nogo_receptor-interacting_protein_1_	4oqt
seq_214	seq_208	spike_protein_s1	7lop
seq_214	seq_214	interleukin-17f	6ppg
seq_215	seq_215	neuraminidase	6q20
seq_216	seq_216	kr1	6wh9
seq_217	seq_217	maltose_binding_protein	5bk1
seq_219	seq_219	25_kda_ookinete_surface_antigen	6phb
seq_220	seq_181	spike_protein_s1	7l5b
seq_220	seq_220	spike_glycoprotein	7l2d
seq_221	seq_34	spike_protein_s1	8qrf
seq_221	seq_102	spike_glycoprotein	7ykj
seq_221	seq_103	core_protein	7wur
seq_221	seq_218	spike_glycoprotein	7lab
seq_221	seq_221	spike_protein_s1	7mzm
seq_222	seq_53	spike_protein_s1	8bg4
seq_222	seq_112	spike_protein_s1	7wbz
seq_222	seq_170	neuraminidase	6q1z
seq_222	seq_205	spike_protein_s1	7bz5
seq_222	seq_222	surface_glycoprotein	7b3o
seq_223	seq_223	spike_glycoprotein	7r8n
seq_224	seq_224	scaffold_hiv-1_gp120_v1v2_region_derived_from_strain_zm109	4ywg
seq_225	seq_225	factor_h_binding_protein_variant_1.1	5o14
seq_226	seq_226	hemagglutinin_ha1	5ug0
seq_227	seq_227	activin_receptor_type-2b	7oly
seq_229	seq_229	thrombin_heavy_chain	5e8e
seq_230	seq_230	spike_protein_s1	7qf0
seq_232	seq_232	v1v2_region_of_hiv-1_on_1fd6_scaffold	3u4e
seq_233	seq_13	outer_surface_protein_c	9bif
seq_233	seq_20	spike_glycoprotein	8y4a
seq_233	seq_57	spike_glycoprotein	8i3u
seq_233	seq_70	ankyrin_repeat_family_a_protein_2,envelope_e_protein	8cxg
seq_233	seq_72	neuraminidase	8g30
seq_233	seq_73	neuraminidase	8g3m
seq_233	seq_74	neuraminidase	8g3q
seq_233	seq_95	gametocyte_surface_protein_p230	7uvi
seq_233	seq_144	spike_protein_s1	7dk0
seq_233	seq_166	hemagglutinin_ha2_chain	7t3d
seq_233	seq_197	spike_glycoprotein	7xic
seq_233	seq_233	membrane_glycoprotein_polyprotein	5y11
seq_233	seq_244	hemagglutinin_ha1	4hfu
seq_233	seq_251	clade_a/e_93th057_hiv-1_gp120_core	6ofi
seq_235	seq_235	hemagglutinin	6e56
seq_236	seq_236	rsv_fusion_glycoprotein	6dc3
seq_237	seq_237	interleukin-13	3g6d
seq_238	seq_238	ecd	6o9i
seq_239	seq_7	hiv-1_bg505_ds-sosip_glycoprotein_gp120	9aug
seq_239	seq_8	hiv-1_bg505_ds-sosip_glycoprotein_gp120	9auh
seq_239	seq_42	spike_glycoprotein,fibritin	8r1c
seq_239	seq_45	spike_glycoprotein	8cin
seq_239	seq_80	envelope_glycoprotein_gp160	8saz
seq_239	seq_81	ch848.10.17.sosip_gp120	8sb0
seq_239	seq_82	ch848.10.17_gp120	8sb1
seq_239	seq_84	ch848.10.17_gp120	8sb3
seq_239	seq_129	envelope_glycoprotein_gp120	6um7
seq_239	seq_162	spike_protein_s1	7jmp
seq_239	seq_177	surface_glycoprotein	7z0x
seq_239	seq_194	spike_protein_s1	7e7y
seq_239	seq_239	spike_glycoprotein	7k8x
seq_239	seq_249	spike_protein_s1	7ps6
seq_242	seq_242	1fd6-v1v2-wito	5vgj
seq_243	seq_243	complement_c5	4uu9
seq_245	seq_245	spike_protein_s1	7kmi
seq_246	seq_246	spike_protein_s1	7mf1
seq_247	seq_247	leukemia_inhibitory_factor	7n0a
seq_248	seq_248	spike_glycoprotein	2dd8
seq_250	seq_204	spike_protein_s1	7wph
seq_250	seq_250	spike_protein_s1	7m42
