PDB_ID	antigen_name	CF_H1	CF_H2	CF_L1	CF_L2	CF_L3
4dvr	envelope_glycoprotein_gp160	H1-7-seq_577	H2-6-seq_493	L1-11-seq_376	L2-7-seq_65	L3-8-seq_40
4fqj	hemagglutinin	H1-7-seq_661	H2-6-seq_510	L1-13-seq_2	L2-7-seq_738	L3-11-seq_14
4hfu	hemagglutinin_ha1	H1-7-seq_3	H2-6-seq_519	L1-11-seq_395	L2-7-seq_33	L3-10-seq_148
4j6r	envelope_glycoprotein_gp160	H1-7-seq_577	H2-6-seq_532	L1-11-seq_406	L2-7-seq_33	
4jb9	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_659	H2-6-seq_509	L1-10-seq_2	L2-7-seq_735	
4jhw	fusion_glycoprotein_f0	H1-7-seq_392	H2-6-seq_203	L1-11-seq_384	L2-7-seq_433	L3-9-seq_227
4kxz	transforming_growth_factor_beta-2	H1-7-seq_532	H2-6-seq_280	L1-12-seq_56	L2-7-seq_258	L3-9-seq_215
4m5z	hemagglutinin_ha1_chain	H1-8-seq_7		L1-11-seq_199	L2-7-seq_641	L3-11-seq_59
4mwf	envelope_glycoprotein_e2	H1-7-seq_394	H2-6-seq_68	L1-11-seq_228	L2-7-seq_33	L3-9-seq_235
4ot1	envelope_glycoprotein_b	H1-7-seq_608	H2-6-seq_474	L1-13-seq_4	L2-7-seq_610	L3-10-seq_157
4qhu	interleukin-17a	H1-7-seq_65	H2-6-seq_264	L1-11-seq_386	L2-7-seq_382	L3-11-seq_52
4ut6	envelope_glycoprotein_e	H1-7-seq_363	H2-6-seq_281	L1-14-seq_65	L2-7-seq_402	L3-10-seq_100
4uv7	epidermal_growth_factor_receptor	H1-7-seq_577	H2-6-seq_518	L1-16-seq_28	L2-7-seq_71	L3-9-seq_243
4xak	spike_glycoprotein	H1-7-seq_549	H2-6-seq_419	L1-11-seq_1	L2-7-seq_65	L3-9-seq_331
4xnm	hemagglutinin	H1-8-seq_15		L1-11-seq_29	L2-7-seq_353	L3-9-seq_379
4y5v	erythropoietin_receptor	H1-7-seq_65	H2-6-seq_397	L1-14-seq_53	L2-7-seq_577	L3-10-seq_133
4y5x	erythropoietin_receptor	H1-7-seq_65	H2-6-seq_257	L1-13-seq_33	L2-7-seq_553	L3-11-seq_14
4y5y	erythropoietin_receptor	H1-7-seq_678	H2-6-seq_397	L1-14-seq_101	L2-7-seq_97	L3-11-seq_110
4ydi	envelope_glycoprotein_gp160	H1-7-seq_589	H2-6-seq_460	L1-11-seq_347	L2-7-seq_659	
4yjz	hemagglutinin	H1-7-seq_427	H2-6-seq_334	L1-13-seq_2	L2-7-seq_471	L3-11-seq_64
4yk4	hemagglutinin	H1-7-seq_449		L1-11-seq_33	L2-7-seq_65	L3-9-seq_282
4ypg	interferon_alpha-2	H1-7-seq_65	H2-6-seq_256	L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
4z5r	interferon_alpha-2	H1-7-seq_386	H2-6-seq_300	L1-15-seq_3	L2-7-seq_221	L3-9-seq_230
4zff	vascular_endothelial_growth_factor_a	H1-7-seq_584	H2-6-seq_426	L1-12-seq_90	L2-7-seq_654	L3-9-seq_365
5a3i	hemagglutinin	H1-7-seq_577	H2-6-seq_451	L1-16-seq_31	L2-7-seq_36	L3-9-seq_360
5anm	ig_epsilon_chain_c_region	H1-7-seq_505	H2-6-seq_369	L1-14-seq_34	L2-7-seq_537	L3-11-seq_77
5eii	histone_chaperone_asf1	H1-7-seq_558	H2-6-seq_529	L1-11-seq_36	L2-7-seq_67	L3-9-seq_421
5f9o	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_287	H2-6-seq_498	L1-11-seq_383	L2-7-seq_33	L3-8-seq_42
5f9w	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_158	H2-6-seq_375	L1-11-seq_399	L2-7-seq_33	L3-8-seq_31
5ggr	programmed_cell_death_protein_1	H1-7-seq_472	H2-6-seq_364	L1-11-seq_33	L2-7-seq_290	L3-9-seq_286
5ggs	programmed_cell_death_protein_1	H1-7-seq_158	H2-6-seq_341	L1-15-seq_7	L2-7-seq_483	L3-9-seq_265
5ggt	programmed_cell_death_1_ligand_1	H1-7-seq_3	H2-6-seq_351	L1-11-seq_33	L2-7-seq_290	L3-8-seq_30
5ggv	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_65	H2-6-seq_385	L1-11-seq_232	L2-7-seq_65	L3-9-seq_258
5grj	programmed_cell_death_1_ligand_1	H1-7-seq_65	H2-6-seq_399	L1-14-seq_53	L2-7-seq_450	L3-10-seq_111
5gzo	genome_polyprotein	H1-8-seq_1		L1-11-seq_1	L2-7-seq_65	L3-9-seq_43
5ibl	hemagglutinin	H1-7-seq_65	H2-6-seq_276	L1-12-seq_55	L2-7-seq_396	L3-9-seq_79
5iwl	leukocyte_surface_antigen_cd47	H1-7-seq_158	H2-6-seq_353	L1-16-seq_28	L2-7-seq_71	L3-9-seq_38
5k9o	hemagglutinin	H1-7-seq_65	H2-6-seq_290	L1-16-seq_15	L2-7-seq_445	L3-9-seq_243
5kjr	clade_a/e_93th057_hiv-1_gp120_core	H1-9-seq_60		L1-14-seq_53	L2-7-seq_332	L3-10-seq_4
5lbs	envelope_protein_e	H1-7-seq_65	H2-6-seq_268	L1-11-seq_33	L2-7-seq_386	L3-10-seq_148
5n0a	envelope_glycoprotein_e	H1-7-seq_414	H2-6-seq_281	L1-14-seq_75	L2-7-seq_741	L3-10-seq_113
5n7w	interleukin-17a	H1-7-seq_65	H2-6-seq_503	L1-11-seq_385	L2-7-seq_68	L3-9-seq_401
5o4g	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_696	H2-6-seq_537	L1-11-seq_33	L2-7-seq_65	L3-9-seq_425
5sx4	epidermal_growth_factor_receptor	H1-9-seq_39		L1-11-seq_384	L2-7-seq_257	L3-9-seq_310
5t3z	envelope_glycoprotein_gp160	H1-7-seq_519	H2-6-seq_400	L1-14-seq_97	L2-7-seq_582	L3-8-seq_34
5te6	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_590	H2-6-seq_461	L1-11-seq_347	L2-7-seq_660	
5tz2	leukocyte_surface_antigen_cd47	H1-7-seq_577	H2-6-seq_34	L1-11-seq_256	L2-7-seq_493	L3-9-seq_272
5tzt	leukocyte_surface_antigen_cd47	H1-7-seq_577	H2-6-seq_362	L1-16-seq_29	L2-7-seq_71	L3-9-seq_38
5tzu	leukocyte_surface_antigen_cd47	H1-7-seq_98	H2-6-seq_292	L1-11-seq_35	L2-7-seq_452	L3-9-seq_364
5udc	fusion_glycoprotein_f0	H1-7-seq_470	H2-6-seq_203	L1-11-seq_384	L2-7-seq_433	L3-9-seq_227
5uea	histone_chaperone_asf1	H1-7-seq_558	H2-6-seq_439	L1-11-seq_36	L2-7-seq_67	L3-9-seq_350
5uek	histone_chaperone_asf1	H1-7-seq_20	H2-6-seq_479	L1-11-seq_36	L2-7-seq_67	L3-9-seq_383
5ug0	hemagglutinin_ha1	H1-7-seq_649		L1-12-seq_102	L2-7-seq_725	L3-10-seq_167
5ugy	hemagglutinin_ha1	H1-7-seq_577	H2-6-seq_348	L1-11-seq_260	L2-7-seq_484	L3-11-seq_53
5vag	hemagglutinin	H1-7-seq_549	H2-6-seq_419	L1-11-seq_33	L2-7-seq_65	L3-9-seq_196
5vkd	nucleoprotein	H1-7-seq_558	H2-6-seq_436	L1-11-seq_36	L2-7-seq_67	L3-9-seq_347
5vn8	envelope_glycoprotein_gp160	H1-7-seq_541	H2-6-seq_18	L1-12-seq_83	L2-7-seq_606	L3-9-seq_336
5w08	hemagglutinin_ha1	H1-7-seq_329	H2-6-seq_370	L1-14-seq_62	L2-7-seq_741	L3-8-seq_27
5w1k	pre-glycoprotein_polyprotein_gp_complex	H1-9-seq_47		L1-12-seq_1	L2-7-seq_519	L3-9-seq_290
5w42	hemagglutinin	H1-7-seq_3	H2-6-seq_533	L1-12-seq_106	L2-7-seq_33	L3-8-seq_46
5w4l	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_65	H2-6-seq_327	L1-12-seq_61	L2-7-seq_461	L3-11-seq_63
5x8l	programmed_cell_death_1_ligand_1	H1-7-seq_100	H2-6-seq_402	L1-11-seq_302	L2-7-seq_132	L3-9-seq_323
5xhv	hemagglutinin	H1-7-seq_570	H2-6-seq_445	L1-11-seq_334	L2-7-seq_637	L3-9-seq_354
5xj3	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_65	H2-6-seq_118	L1-12-seq_26	L2-7-seq_23	L3-9-seq_79
5xj4	programmed_cell_death_1_ligand_1	H1-7-seq_678	H2-6-seq_129	L1-12-seq_27	L2-7-seq_386	L3-9-seq_104
5xwd	epidermal_growth_factor_receptor	H1-9-seq_38		L1-11-seq_199	L2-7-seq_484	L3-11-seq_53
5y9j	tumor_necrosis_factor_ligand_superfamily_member_13b	H1-7-seq_560	H2-6-seq_68	L1-11-seq_61	L2-7-seq_110	L3-11-seq_60
6aru	epidermal_growth_factor_receptor	H1-7-seq_412		L1-11-seq_239	L2-7-seq_454	L3-9-seq_286
6att	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_65	H2-6-seq_231	L1-17-seq_24	L2-7-seq_449	L3-9-seq_240
6b0e	25_kda_ookinete_surface_antigen	H1-7-seq_554	H2-6-seq_290	L1-16-seq_15	L2-7-seq_2	L3-9-seq_243
6b0g	25_kda_ookinete_surface_antigen	H1-7-seq_65	H2-6-seq_290	L1-16-seq_15	L2-7-seq_2	L3-9-seq_243
6b0s	circumsporozoite_protein	H1-7-seq_65	H2-6-seq_231	L1-11-seq_386	L2-7-seq_353	L3-9-seq_185
6bft	vascular_endothelial_growth_factor_a	H1-7-seq_527	H2-6-seq_408	L1-11-seq_384	L2-7-seq_590	L3-9-seq_327
6bgt	receptor_tyrosine-protein_kinase_erbb-2	H1-7-seq_686	H2-6-seq_83	L1-11-seq_403	L2-7-seq_763	L3-9-seq_72
6c6z	spike_protein	H1-7-seq_229	H2-6-seq_419	L1-16-seq_33	L2-7-seq_36	L3-8-seq_14
6cdi	glycoprotein_120	H1-7-seq_577	H2-6-seq_323	L1-16-seq_28	L2-7-seq_453	L3-9-seq_38
6dfh	envelope_glycoprotein_gp160	H1-8-seq_1		L1-11-seq_159	L2-7-seq_354	L3-11-seq_54
6e4x	hemagglutinin	H1-9-seq_41		L1-11-seq_257	L2-7-seq_494	
6e56	hemagglutinin	H1-7-seq_662	H2-6-seq_511	L1-11-seq_228	L2-7-seq_33	L3-10-seq_172
6fax	tumor_necrosis_factor_receptor_superfamily_member_5	H1-7-seq_386	H2-6-seq_476	L1-11-seq_244	L2-7-seq_684	L3-9-seq_380
6ii4	hemagglutinin	H1-7-seq_65	H2-6-seq_386	L1-13-seq_5	L2-7-seq_730	L3-9-seq_403
6ii8	hemagglutinin	H1-7-seq_65	H2-6-seq_257	L1-13-seq_5	L2-7-seq_226	L3-9-seq_24
6ii9	hemagglutinin	H1-7-seq_517		L1-14-seq_34	L2-7-seq_600	L3-11-seq_91
6iut	hemagglutinin	H1-7-seq_89		L1-14-seq_35	L2-7-seq_466	L3-10-seq_117
6iuv	hemagglutinin	H1-7-seq_595	H2-6-seq_465	L1-16-seq_33	L2-7-seq_666	L3-8-seq_35
6iw2	envelope_protein_e	H1-7-seq_477		L1-11-seq_345	L2-7-seq_705	L3-9-seq_300
6jjp	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_175	L1-11-seq_299	L2-7-seq_129	L3-9-seq_319
6kyz	genome_polyprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_386	L2-7-seq_353	L3-9-seq_185
6kz0	genome_polyprotein	H1-7-seq_502	H2-6-seq_217	L1-11-seq_225	L2-7-seq_65	L3-9-seq_308
6lxj	neuraminidase	H1-7-seq_390	H2-6-seq_419	L1-14-seq_35	L2-7-seq_450	L3-10-seq_107
6meh	e2_glycoprotein	H1-7-seq_684	H2-6-seq_526	L1-11-seq_70	L2-7-seq_705	L3-9-seq_419
6mfp	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_65	H2-6-seq_187	L1-11-seq_203	L2-7-seq_65	L3-9-seq_308
6mg7	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_465	H2-6-seq_97	L1-11-seq_272	L2-7-seq_673	L3-9-seq_292
6mi2	tumor_necrosis_factor_receptor_superfamily_member_9	H1-7-seq_545	H2-6-seq_425	L1-11-seq_319	L2-7-seq_611	L3-11-seq_94
6mlm	hemagglutinin_ha1_chain	H1-7-seq_525	H2-6-seq_406	L1-11-seq_304	L2-7-seq_740	L3-9-seq_292
6nms	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	H1-7-seq_65	H2-6-seq_267	L1-11-seq_3	L2-7-seq_33	L3-10-seq_97
6nmu	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	H1-7-seq_65	H2-6-seq_411	L1-11-seq_308	L2-7-seq_290	L3-10-seq_139
6o25	circumsporozoite_protein	H1-7-seq_65	H2-6-seq_385	L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
6o2b	circumsporozoite_protein	H1-7-seq_335	H2-8-seq_10	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
6oc3	hemagglutinin	H1-9-seq_56		L1-11-seq_336	L2-7-seq_494	L3-9-seq_356
6oe4	fusion_glycoprotein_f0	H1-9-seq_44		L1-11-seq_151	L2-7-seq_510	L3-9-seq_283
6oej	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_65	H2-6-seq_515	L1-16-seq_33	L2-7-seq_36	L3-8-seq_44
6ofi	clade_a/e_93th057_hiv-1_gp120_core	H1-7-seq_698	H2-6-seq_539	L1-11-seq_228	L2-7-seq_33	L3-10-seq_148
6pdx	hemagglutinin	H1-7-seq_606		L1-13-seq_55	L2-7-seq_610	L3-10-seq_156
6pe8	tumor_necrosis_factor_receptor_superfamily_member_5	H1-7-seq_577	H2-6-seq_350	L1-17-seq_17	L2-7-seq_449	L3-9-seq_246
6pe9	tumor_necrosis_factor_receptor_superfamily_member_5	H1-7-seq_577	H2-6-seq_320	L1-17-seq_17	L2-7-seq_449	L3-9-seq_246
6phb	25_kda_ookinete_surface_antigen	H1-7-seq_626		L1-11-seq_384	L2-7-seq_257	L3-10-seq_161
6phc	25_kda_ookinete_surface_antigen	H1-7-seq_617	H2-6-seq_481	L1-15-seq_9	L2-7-seq_36	L3-8-seq_37
6phf	25_kda_ookinete_surface_antigen	H1-7-seq_419	H2-6-seq_329	L1-11-seq_241	L2-7-seq_353	L3-10-seq_115
6pze	neuraminidase	H1-9-seq_38		L1-13-seq_33	L2-7-seq_610	L3-11-seq_32
6pzw	neuraminidase	H1-7-seq_321	H2-6-seq_386	L1-14-seq_53	L2-7-seq_450	L3-10-seq_95
6pzy	neuraminidase	H1-8-seq_6		L1-13-seq_18	L2-7-seq_710	L3-11-seq_4
6pzz	neuraminidase	H1-7-seq_297	H2-6-seq_290	L1-11-seq_33	L2-7-seq_65	L3-9-seq_292
6q1z	neuraminidase	H1-7-seq_321	H2-6-seq_12	L1-11-seq_151	L2-7-seq_551	L3-10-seq_153
6q20	neuraminidase	H1-7-seq_321	H2-6-seq_12	L1-11-seq_151	L2-7-seq_551	L3-10-seq_159
6u02	neuraminidase	H1-7-seq_65	H2-6-seq_129	L1-11-seq_33	L2-7-seq_235	L3-10-seq_99
6u0n	envelope_glycoprotein_gp120	H1-7-seq_533	H2-6-seq_419	L1-13-seq_33	L2-7-seq_226	L3-11-seq_32
6uig	hemagglutinin	H1-9-seq_59		L1-11-seq_370	L2-7-seq_681	L3-9-seq_387
6um7	envelope_glycoprotein_gp120	H1-7-seq_577	H2-6-seq_291	L1-14-seq_47	L2-7-seq_97	L3-10-seq_25
6urm	hemagglutinin	H1-9-seq_7		L1-11-seq_199	L2-7-seq_513	L3-9-seq_285
6utk	envelope_glycoprotein_gp120	H1-7-seq_450	H2-6-seq_462	L1-12-seq_92	L2-7-seq_662	L3-9-seq_370
6uyg	envelope_glycoprotein_e2	H1-7-seq_504	H2-6-seq_68	L1-12-seq_69	L2-7-seq_516	L3-8-seq_33
6v4n	neuraminidase	H1-7-seq_350		L1-11-seq_207	L2-7-seq_1	L3-9-seq_208
6v4o	neuraminidase	H1-7-seq_432	H2-6-seq_339	L1-12-seq_64	L2-7-seq_33	L3-9-seq_262
6vn1	envelope_glycoprotein_b	H1-7-seq_450	H2-6-seq_349	L1-11-seq_70	L2-7-seq_500	L3-9-seq_149
6wir	interleukin-17a	H1-7-seq_364	H2-6-seq_282	L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
6wm9	reticulocyte_binding_protein_2b	H1-7-seq_498	H2-6-seq_386	L1-14-seq_93	L2-7-seq_556	L3-10-seq_72
6wn1	reticulocyte_binding_protein_2b	H1-7-seq_165	H2-6-seq_342	L1-11-seq_252	L2-7-seq_484	L3-11-seq_69
6wo4	envelope_glycoprotein_e2	H1-7-seq_672	H2-6-seq_68	L1-12-seq_104	L2-7-seq_749	L3-9-seq_5
6wo5	envelope_glycoprotein_e2	H1-7-seq_370	H2-6-seq_203	L1-11-seq_225	L2-7-seq_2	L3-9-seq_222
6woz	reticulocyte_binding_protein_2b	H1-7-seq_508	H2-6-seq_392	L1-11-seq_294	L2-7-seq_570	L3-9-seq_164
6wqo	reticulocyte_binding_protein_2b	H1-7-seq_666		L1-11-seq_391	L2-7-seq_740	L3-9-seq_408
6wtu	reticulocyte_binding_protein_2b	H1-7-seq_488	H2-6-seq_257	L1-11-seq_317	L2-7-seq_546	L3-11-seq_92
6wtv	reticulocyte_binding_protein_2b	H1-7-seq_488	H2-6-seq_257	L1-11-seq_260	L2-7-seq_546	L3-11-seq_92
6wty	reticulocyte_binding_protein_2b	H1-7-seq_378	H2-6-seq_294	L1-14-seq_69	L2-7-seq_97	L3-10-seq_103
6xcn	spike_glycoprotein	H1-7-seq_513		L1-14-seq_53	L2-7-seq_97	L3-11-seq_50
6xe1	spike_protein_s1	H1-7-seq_129		L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
6xey	sars-cov-2_spike_glycoprotein	H1-7-seq_603	H2-6-seq_33	L1-14-seq_53	L2-7-seq_97	L3-10-seq_65
6xkp	spike_protein_s1	H1-7-seq_577	H2-6-seq_366	L1-14-seq_53	L2-7-seq_332	L3-10-seq_124
6xkq	spike_protein_s1	H1-7-seq_398	H2-6-seq_489	L1-14-seq_72	L2-7-seq_439	L3-10-seq_109
6xkr	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_490	L1-17-seq_17	L2-7-seq_706	L3-9-seq_392
6xpx	hemagglutinin	H1-7-seq_619	H2-6-seq_482	L1-17-seq_22	L2-7-seq_449	L3-9-seq_386
6xpy	hemagglutinin	H1-7-seq_474		L1-11-seq_277	L2-7-seq_530	L3-9-seq_292
6xpz	hemagglutinin	H1-7-seq_445	H2-6-seq_346	L1-11-seq_384	L2-7-seq_495	L3-9-seq_273
6xq0	hemagglutinin	H1-7-seq_461		L1-12-seq_68	L2-7-seq_516	L3-9-seq_288
6xq2	hemagglutinin	H1-7-seq_523	H2-6-seq_404	L1-11-seq_303	L2-7-seq_586	L3-9-seq_324
6xq4	hemagglutinin	H1-7-seq_97		L1-17-seq_20	L2-7-seq_449	L3-9-seq_351
6xy2	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_423		L1-11-seq_379	L2-7-seq_715	L3-9-seq_397
7akd	spike_glycoprotein	H1-7-seq_627		L1-11-seq_105	L2-7-seq_258	L3-9-seq_286
7b3o	surface_glycoprotein	H1-7-seq_641		L1-11-seq_225	L2-7-seq_65	L3-10-seq_153
7bej	spike_glycoprotein	H1-7-seq_578		L1-11-seq_225	L2-7-seq_65	L3-9-seq_204
7bel	spike_glycoprotein	H1-9-seq_33		L1-13-seq_33	L2-7-seq_553	L3-11-seq_51
7beo	spike_glycoprotein	H1-7-seq_486	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
7bep	spike_glycoprotein	H1-7-seq_577	H2-6-seq_414	L1-11-seq_225	L2-7-seq_65	L3-9-seq_330
7bnv	surface_glycoprotein	H1-7-seq_569	H2-6-seq_34	L1-12-seq_1	L2-7-seq_33	L3-11-seq_8
7bpk	envelope_protein	H1-7-seq_65	H2-6-seq_386	L1-13-seq_33	L2-7-seq_721	L3-11-seq_32
7bq5	envelope_protein	H1-9-seq_46		L1-11-seq_225	L2-7-seq_387	L3-9-seq_287
7bu8	genome_polyprotein	H1-7-seq_532	H2-6-seq_412	L1-11-seq_384	L2-7-seq_595	L3-9-seq_227
7byr	sars-cov-2_spike_glycoprotein	H1-7-seq_65	H2-6-seq_536	L1-11-seq_70	L2-7-seq_705	L3-9-seq_393
7bz5	spike_protein_s1	H1-7-seq_585		L1-11-seq_225	L2-7-seq_65	L3-10-seq_153
7cdj	spike_protein_s1	H1-7-seq_577	H2-6-seq_366	L1-11-seq_225	L2-7-seq_65	L3-9-seq_331
7cgw	programmed_cell_death_protein_1	H1-7-seq_423		L1-11-seq_261	L2-7-seq_498	L3-9-seq_275
7chc	spike_glycoprotein	H1-7-seq_550		L1-11-seq_225	L2-7-seq_33	L3-9-seq_255
7chh	spike_glycoprotein	H1-7-seq_356	H2-6-seq_275	L1-16-seq_33	L2-7-seq_36	L3-9-seq_212
7cho	spike_protein_s1	H1-7-seq_585		L1-14-seq_34	L2-7-seq_545	L3-11-seq_67
7chs	spike_protein_s1	H1-7-seq_513		L1-11-seq_225	L2-7-seq_65	L3-8-seq_36
7cjf	spike_glycoprotein	H1-7-seq_585		L1-11-seq_162	L2-7-seq_65	L3-9-seq_148
7cm4	spike_glycoprotein	H1-9-seq_37		L1-13-seq_33	L2-7-seq_610	L3-11-seq_32
7coe	spike_glycoprotein	H1-7-seq_560	H2-6-seq_438	L1-12-seq_1	L2-7-seq_386	L3-9-seq_5
7cu5	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_457	L1-11-seq_345	L2-7-seq_656	L3-9-seq_367
7cwn	spike_glycoprotein	H1-7-seq_65	H2-6-seq_255	L1-11-seq_33	L2-7-seq_65	L3-9-seq_196
7cws	spike_glycoprotein	H1-7-seq_380	H2-6-seq_484	L1-13-seq_33	L2-7-seq_610	L3-11-seq_32
7cyv	spike_protein_s1	H1-7-seq_549	H2-6-seq_483	L1-11-seq_159	L2-7-seq_354	L3-11-seq_54
7czp	spike_glycoprotein	H1-7-seq_449		L1-14-seq_53	L2-7-seq_577	L3-10-seq_120
7czq	spike_glycoprotein	H1-7-seq_513		L1-11-seq_384	L2-7-seq_257	L3-10-seq_174
7czs	spike_glycoprotein	H1-7-seq_513		L1-11-seq_225	L2-7-seq_65	L3-9-seq_295
7czu	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
7czw	spike_glycoprotein	H1-9-seq_57		L1-14-seq_53	L2-7-seq_450	L3-11-seq_98
7czx	spike_glycoprotein	H1-7-seq_449		L1-17-seq_24	L2-7-seq_449	L3-9-seq_258
7czy	spike_glycoprotein	H1-7-seq_65	H2-6-seq_370	L1-17-seq_24	L2-7-seq_449	L3-9-seq_258
7d0c	spike_glycoprotein	H1-7-seq_513		L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
7d0d	spike_glycoprotein	H1-9-seq_37		L1-17-seq_24	L2-7-seq_449	L3-9-seq_258
7deo	spike_protein_s1	H1-7-seq_622	H2-6-seq_385	L1-16-seq_33	L2-7-seq_36	L3-9-seq_56
7djz	spike_protein_s1	H1-7-seq_549	H2-6-seq_483	L1-11-seq_228	L2-7-seq_33	L3-8-seq_42
7dk0	spike_protein_s1	H1-7-seq_549	H2-6-seq_419	L1-11-seq_228	L2-7-seq_33	L3-10-seq_148
7dk2	spike_protein_s1	H1-7-seq_65	H2-6-seq_293	L1-11-seq_225	L2-7-seq_65	L3-9-seq_225
7dpm	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-11-seq_225	L2-7-seq_65	L3-9-seq_43
7dx4	spike_protein_s1	H1-7-seq_549	H2-6-seq_378	L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
7dzx	spike_glycoprotein	H1-7-seq_65	H2-6-seq_282	L1-11-seq_1	L2-7-seq_65	L3-9-seq_43
7dzy	spike_glycoprotein	H1-7-seq_65	H2-6-seq_313	L1-11-seq_228	L2-7-seq_33	L3-9-seq_239
7e23	spike_protein_s1	H1-7-seq_517		L1-11-seq_33	L2-7-seq_290	L3-9-seq_164
7e39	spike_protein_s1	H1-7-seq_554	H2-6-seq_385	L1-11-seq_225	L2-7-seq_673	L3-9-seq_43
7e3k	spike_glycoprotein	H1-7-seq_576	H2-6-seq_97	L1-12-seq_103	L2-7-seq_33	L3-9-seq_79
7e3o	spike_protein_s1	H1-7-seq_65		L1-13-seq_2	L2-7-seq_710	L3-10-seq_17
7e5o	spike_protein_s1	H1-7-seq_517		L1-11-seq_244	L2-7-seq_65	L3-9-seq_410
7e5s	spike_glycoprotein	H1-7-seq_388	H2-6-seq_292	L1-15-seq_4	L2-7-seq_429	L3-9-seq_232
7e5y	spike_protein_s1	H1-7-seq_628		L1-13-seq_57	L2-7-seq_703	L3-11-seq_105
7e7x	spike_protein_s1	H1-7-seq_551	H2-6-seq_429	L1-14-seq_101	L2-7-seq_577	L3-10-seq_4
7e7y	spike_protein_s1	H1-7-seq_578		L1-14-seq_101	L2-7-seq_97	L3-10-seq_25
7e86	spike_protein_s1	H1-7-seq_585		L1-11-seq_33	L2-7-seq_65	L3-10-seq_99
7e88	spike_protein_s1	H1-7-seq_550		L1-11-seq_384	L2-7-seq_642	L3-9-seq_167
