pdb,cluster
4i77,SEQ_H2_5_3
8kdr,SEQ_H2_5_3
4edw,SEQ_H2_5_3
6xq0,SEQ_H2_5_3
8sow,SEQ_H2_5_3
8soz,SEQ_H2_5_3
7r8l,SEQ_H2_5_3
7kfv,SEQ_H2_5_3
7ejz,SEQ_H2_5_3
7sc1,SEQ_H2_5_3
8hc2,SEQ_H2_5_3
7uow,SEQ_H2_5_3
8hn6,SEQ_H2_5_3
8bg4,SEQ_H2_5_3
8xsd,SEQ_H2_5_3
8xbf,SEQ_H2_5_3
7kmi,SEQ_H2_5_3
7vmu,SEQ_H2_5_3
7m6f,SEQ_H2_5_3
7czs,SEQ_H2_5_3
7bej,SEQ_H2_5_3
7t72,SEQ_H2_5_3
7wcp,SEQ_H2_5_3
8j1t,SEQ_H2_5_3
8xea,SEQ_H2_5_3
9fgt,SEQ_H2_5_3
9fgs,SEQ_H2_5_3
9fgr,SEQ_H2_5_3
8qh0,SEQ_H2_5_3
8c0y,SEQ_H2_5_3
8wpw,SEQ_H2_5_3
8k18,SEQ_H2_5_3
7yr1,SEQ_H2_5_3
7l7r,SEQ_H2_5_3
8dfh,SEQ_H2_5_3
7ox1,SEQ_H2_5_3
7uc8,SEQ_H2_5_3
7bsc,SEQ_H2_5_3
4rx4,SEQ_H2_5_3
4rwy,SEQ_H2_5_3
7mzl,SEQ_H2_5_3
8tqk,SEQ_H2_5_3
7s8h,SEQ_H2_5_3
4dqo,SEQ_H2_5_3
7z0x,SEQ_H2_5_3
7e3o,SEQ_H2_5_3
7cgw,SEQ_H2_5_3
6xq4,SEQ_H2_5_3
7shu,SEQ_H2_5_3
7si0,SEQ_H2_5_3
7shy,SEQ_H2_5_3
8veb,SEQ_H2_5_3
8u1s,SEQ_H2_5_3
6vc9,SEQ_H2_5_3
7ttx,SEQ_H2_5_3
7m30,SEQ_H2_5_3
9bjh,SEQ_H2_5_3
8v5s,SEQ_H2_5_3
7uvq,SEQ_H2_5_3
9e6k,SEQ_H2_5_3
8tp6,SEQ_H2_5_3
7r8n,SEQ_H2_5_3
7kfx,SEQ_H2_5_3
7e5y,SEQ_H2_5_3
7mzf,SEQ_H2_5_3
7kfy,SEQ_H2_5_3
4dag,SEQ_H2_5_3
7kfw,SEQ_H2_5_3
7m6d,SEQ_H2_5_3
7nd5,SEQ_H2_5_3
8zhq,SEQ_H2_5_3
8e1g,SEQ_H2_5_3
3q1s,SEQ_H2_5_3
8dwx,SEQ_H2_5_3
7jmp,SEQ_H2_5_3
5ug0,SEQ_H2_5_3
4k8r,SEQ_H2_5_3
9l6c,SEQ_H2_5_3
4u6v,SEQ_H2_5_3
8ezk,SEQ_H2_5_3
8x0y,SEQ_H2_5_3
4ywg,SEQ_H2_5_3
8pq2,SEQ_H2_5_3
7s1b,SEQ_H2_5_3
4ye4,SEQ_H2_5_3
8g4p,SEQ_H2_5_3
8bbo,SEQ_H2_5_3
4uu9,SEQ_H2_6_1
3ux9,SEQ_H2_6_1
7s0b,SEQ_H2_6_1
6wtu,SEQ_H2_6_1
7lcv,SEQ_H2_6_1
4y5x,SEQ_H2_6_1
3bn9,SEQ_H2_6_1
6uta,SEQ_H2_6_1
6wtv,SEQ_H2_6_1
6ktr,SEQ_H2_6_1
6ii8,SEQ_H2_6_1
7dpm,SEQ_H2_6_1
7mzk,SEQ_H2_6_1
2vxs,SEQ_H2_6_1
7wog,SEQ_H2_6_1
8as0,SEQ_H2_6_1
8dxt,SEQ_H2_6_1
8dy1,SEQ_H2_6_1
8k3c,SEQ_H2_6_1
8rpb,SEQ_H2_6_1
8rp8,SEQ_H2_6_1
8xse,SEQ_H2_6_1
8tft,SEQ_H2_6_1
8s6z,SEQ_H2_6_1
8v13,SEQ_H2_6_1
9aru,SEQ_H2_6_1
7tzh,SEQ_H2_6_1
7cj2,SEQ_H2_6_1
8jel,SEQ_H2_6_1
6n81,SEQ_H2_6_1
8gy5,SEQ_H2_6_1
8i3u,SEQ_H2_6_1
6u36,SEQ_H2_6_1
8vk1,SEQ_H2_6_1
8r9w,SEQ_H2_6_1
6jjp,SEQ_H2_6_1
6ye3,SEQ_H2_6_1
8znz,SEQ_H2_6_1
7wsl,SEQ_H2_6_1
7vux,SEQ_H2_6_1
5ob5,SEQ_H2_6_1
1h0d,SEQ_H2_6_1
6wgl,SEQ_H2_6_1
5occ,SEQ_H2_6_1
7r40,SEQ_H2_6_1
7e9b,SEQ_H2_6_1
9b2w,SEQ_H2_6_1
6vy5,SEQ_H2_6_1
7f3q,SEQ_H2_6_1
5cus,SEQ_H2_6_1
7dha,SEQ_H2_6_1
7s0d,SEQ_H2_6_1
7vyt,SEQ_H2_6_1
7rw2,SEQ_H2_6_1
7k9z,SEQ_H2_6_1
7df1,SEQ_H2_6_1
7k8w,SEQ_H2_6_1
6hhc,SEQ_H2_6_1
7k8x,SEQ_H2_6_1
8d48,SEQ_H2_6_1
3r1g,SEQ_H2_6_1
7t4r,SEQ_H2_6_1
5n7w,SEQ_H2_6_1
8db4,SEQ_H2_6_1
6nms,SEQ_H2_6_1
8cyh,SEQ_H2_6_1
4ogx,SEQ_H2_6_1
4wv1,SEQ_H2_6_1
6xpx,SEQ_H2_6_1
8sj6,SEQ_H2_6_1
8cxg,SEQ_H2_6_1
7e8c,SEQ_H2_6_1
8jmm,SEQ_H2_6_1
7chh,SEQ_H2_6_1
7y3n,SEQ_H2_6_1
4fqj,SEQ_H2_6_1
8wfh,SEQ_H2_6_1
6ute,SEQ_H2_6_1
6ww5,SEQ_H2_6_1
4zs6,SEQ_H2_6_1
8f6e,SEQ_H2_6_1
7zxk,SEQ_H2_6_1
7v23,SEQ_H2_6_1
3nh7,SEQ_H2_6_1
7pgb,SEQ_H2_6_1
6usf,SEQ_H2_6_1
6yye,SEQ_H2_6_1
7wn2,SEQ_H2_6_1
8pg0,SEQ_H2_6_1
8smm,SEQ_H2_6_1
9dng,SEQ_H2_6_1
9b3k,SEQ_H2_6_1
5mes,SEQ_H2_6_1
8ume,SEQ_H2_6_1
6att,SEQ_H2_6_1
7t3d,SEQ_H2_6_1
8bk2,SEQ_H2_6_1
8dww,SEQ_H2_6_1
8dzw,SEQ_H2_6_1
7u9e,SEQ_H2_6_1
6b0s,SEQ_H2_6_1
7rxl,SEQ_H2_6_1
7eya,SEQ_H2_6_1
8f6x,SEQ_H2_6_1
7tjq,SEQ_H2_6_1
7uvh,SEQ_H2_6_1
6e1k,SEQ_H2_6_1
6phc,SEQ_H2_6_1
6o9h,SEQ_H2_6_1
6xkp,SEQ_H2_6_1
7cdj,SEQ_H2_6_1
6wjl,SEQ_H2_6_1
8hlc,SEQ_H2_6_1
8gh4,SEQ_H2_6_1
8tqi,SEQ_H2_6_1
8oz3,SEQ_H2_6_1
7wur,SEQ_H2_6_1
5bk1,SEQ_H2_6_1
4g7v,SEQ_H2_6_1
5vkd,SEQ_H2_6_1
7mnl,SEQ_H2_6_1
4nnp,SEQ_H2_6_1
5bjz,SEQ_H2_6_1
7sk3,SEQ_H2_6_1
8slb,SEQ_H2_6_1
7vng,SEQ_H2_6_1
6o3b,SEQ_H2_6_1
5eii,SEQ_H2_6_1
3pgf,SEQ_H2_6_1
7niw,SEQ_H2_6_1
7tpg,SEQ_H2_6_1
5bk2,SEQ_H2_6_1
7mtb,SEQ_H2_6_1
8tv1,SEQ_H2_6_1
5uoe,SEQ_H2_6_1
6ukj,SEQ_H2_6_1
2fjh,SEQ_H2_6_1
6pi7,SEQ_H2_6_1
9avo,SEQ_H2_6_1
8uwz,SEQ_H2_6_1
6o3a,SEQ_H2_6_1
8vui,SEQ_H2_6_1
4dke,SEQ_H2_6_1
5eu7,SEQ_H2_6_1
5uek,SEQ_H2_6_1
4rrp,SEQ_H2_6_1
5c8j,SEQ_H2_6_1
7sk3,SEQ_H2_6_1
8the,SEQ_H2_6_1
8smk,SEQ_H2_6_1
8vc7,SEQ_H2_6_1
8tnj,SEQ_H2_6_1
4hwb,SEQ_H2_6_1
6mi2,SEQ_H2_6_1
2qqk,SEQ_H2_6_1
7zbu,SEQ_H2_6_1
4ers,SEQ_H2_6_1
7yh6,SEQ_H2_6_1
3whe,SEQ_H2_6_1
8rz0,SEQ_H2_6_1
6xkq,SEQ_H2_6_1
7mmn,SEQ_H2_6_1
7su0,SEQ_H2_6_1
5t33,SEQ_H2_6_1
5j13,SEQ_H2_6_1
7deo,SEQ_H2_6_1
7ur4,SEQ_H2_6_1
7ly3,SEQ_H2_6_1
6o25,SEQ_H2_6_1
7q0i,SEQ_H2_6_1
7lxw,SEQ_H2_6_1
6vca,SEQ_H2_6_1
5ggv,SEQ_H2_6_1
4xx1,SEQ_H2_6_1
8eoo,SEQ_H2_6_1
8f0i,SEQ_H2_6_1
7ukm,SEQ_H2_6_1
8xsf,SEQ_H2_6_1
8f2j,SEQ_H2_6_1
7l2f,SEQ_H2_6_1
5ggr,SEQ_H2_6_1
7x92,SEQ_H2_6_1
7uxl,SEQ_H2_6_1
8awm,SEQ_H2_6_1
8dyy,SEQ_H2_6_1
8r9y,SEQ_H2_6_1
5f9w,SEQ_H2_6_1
5wi9,SEQ_H2_6_1
7ahv,SEQ_H2_6_1
8dz3,SEQ_H2_6_1
8dyw,SEQ_H2_6_1
8dz4,SEQ_H2_6_1
9l6c,SEQ_H2_6_1
7e39,SEQ_H2_6_1
7xmz,SEQ_H2_6_1
7rew,SEQ_H2_6_1
8udz,SEQ_H2_6_1
4qhu,SEQ_H2_6_1
8vpf,SEQ_H2_6_1
7m30,SEQ_H2_6_1
4uv7,SEQ_H2_6_1
8fdo,SEQ_H2_6_1
3mxw,SEQ_H2_6_1
7seg,SEQ_H2_6_1
8cwj,SEQ_H2_6_1
7kzb,SEQ_H2_6_1
7ps2,SEQ_H2_6_1
5vig,SEQ_H2_6_1
7kde,SEQ_H2_6_1
5a3i,SEQ_H2_6_1
4p59,SEQ_H2_6_1
8qzr,SEQ_H2_6_1
5nh3,SEQ_H2_6_1
8keo,SEQ_H2_6_1
4hcr,SEQ_H2_6_1
8qpr,SEQ_H2_6_1
8dlw,SEQ_H2_6_1
8fsj,SEQ_H2_6_1
2fed,SEQ_H2_6_1
8kfa,SEQ_H2_6_1
7l5b,SEQ_H2_6_1
8si1,SEQ_H2_6_1
5ugy,SEQ_H2_6_1
6okm,SEQ_H2_6_1
6ofi,SEQ_H2_6_1
8ghp,SEQ_H2_6_1
6cdi,SEQ_H2_6_1
7x95,SEQ_H2_6_1
7ua8,SEQ_H2_6_1
2ghw,SEQ_H2_6_1
7eng,SEQ_H2_6_1
6ii4,SEQ_H2_6_1
7bpk,SEQ_H2_6_1
7n4l,SEQ_H2_6_1
7kqb,SEQ_H2_6_1
5yoy,SEQ_H2_6_1
7tb8,SEQ_H2_6_1
7tcc,SEQ_H2_6_1
6kyz,SEQ_H2_6_1
7k8s,SEQ_H2_6_1
7czu,SEQ_H2_6_1
6pzw,SEQ_H2_6_1
7cwn,SEQ_H2_6_1
7x90,SEQ_H2_6_1
7yck,SEQ_H2_6_1
8bcz,SEQ_H2_6_1
8h07,SEQ_H2_6_1
8j1q,SEQ_H2_6_1
8h7l,SEQ_H2_6_1
8cbe,SEQ_H2_6_1
8cbd,SEQ_H2_6_1
8f2x,SEQ_H2_6_1
8jqn,SEQ_H2_6_1
8wsu,SEQ_H2_6_1
1hez,SEQ_H2_6_1
1dee,SEQ_H2_6_1
6was,SEQ_H2_6_1
7t4r,SEQ_H2_6_1
3g6d,SEQ_H2_6_1
8tbq,SEQ_H2_6_1
6plk,SEQ_H2_6_1
9dh2,SEQ_H2_6_1
4qci,SEQ_H2_6_1
7d85,SEQ_H2_6_1
8q5y,SEQ_H2_6_1
7zoz,SEQ_H2_6_1
5yy5,SEQ_H2_6_1
7lsf,SEQ_H2_6_1
4np4,SEQ_H2_6_1
7prz,SEQ_H2_6_1
6xpz,SEQ_H2_6_1
7u9p,SEQ_H2_6_1
7unb,SEQ_H2_6_1
5vic,SEQ_H2_6_1
6wm9,SEQ_H2_6_1
7u0x,SEQ_H2_6_1
8ykt,SEQ_H2_6_1
8xse,SEQ_H2_6_1
7wwm,SEQ_H2_6_1
2ybr,SEQ_H2_6_1
8suo,SEQ_H2_6_1
8xi6,SEQ_H2_6_1
7n62,SEQ_H2_6_1
7ukl,SEQ_H2_6_1
7xcz,SEQ_H2_6_1
7wp0,SEQ_H2_6_1
8uzc,SEQ_H2_6_1
8d7e,SEQ_H2_6_1
3eob,SEQ_H2_6_1
7e72,SEQ_H2_6_1
8xsj,SEQ_H2_6_1
8cwk,SEQ_H2_6_1
8dg8,SEQ_H2_6_1
4ydk,SEQ_H2_6_1
8w0v,SEQ_H2_6_1
6wzk,SEQ_H2_6_1
8tea,SEQ_H2_6_1
4g80,SEQ_H2_6_1
8tnj,SEQ_H2_6_1
6ymq,SEQ_H2_6_1
5x8l,SEQ_H2_6_1
6xkr,SEQ_H2_6_1
8gpy,SEQ_H2_6_1
7e5s,SEQ_H2_6_1
6o39,SEQ_H2_6_1
8dg9,SEQ_H2_6_1
7si2,SEQ_H2_6_1
5veb,SEQ_H2_6_1
7wi0,SEQ_H2_6_1
7s5q,SEQ_H2_6_1
8dxs,SEQ_H2_6_1
3kr3,SEQ_H2_6_1
7ket,SEQ_H2_6_1
7mzm,SEQ_H2_6_1
6txz,SEQ_H2_6_1
8r1d,SEQ_H2_6_1
7yxu,SEQ_H2_6_1
6m58,SEQ_H2_6_1
4dtg,SEQ_H2_6_1
8sit,SEQ_H2_6_1
6pe9,SEQ_H2_6_1
8tbb,SEQ_H2_6_1
6e56,SEQ_H2_6_1
8e7m,SEQ_H2_6_1
6pe8,SEQ_H2_6_1
8gav,SEQ_H2_6_1
3u30,SEQ_H2_6_1
8ahn,SEQ_H2_6_1
7fcp,SEQ_H2_6_1
6xq2,SEQ_H2_6_1
7bep,SEQ_H2_6_1
7rxi,SEQ_H2_6_1
7uvq,SEQ_H2_6_1
7s0x,SEQ_H2_6_1
6woz,SEQ_H2_6_1
9b8j,SEQ_H2_6_1
6dc3,SEQ_H2_6_1
8jiz,SEQ_H2_6_1
2r56,SEQ_H2_6_1
7ej4,SEQ_H2_6_1
6n8d,SEQ_H2_6_1
7u9w,SEQ_H2_6_1
2vh5,SEQ_H2_6_1
6oej,SEQ_H2_6_1
7uvi,SEQ_H2_6_1
7dm2,SEQ_H2_6_1
7ua2,SEQ_H2_6_1
7lf8,SEQ_H2_6_1
8i5l,SEQ_H2_6_1
7s7i,SEQ_H2_6_1
7tat,SEQ_H2_6_1
1adq,SEQ_H2_6_1
8f0h,SEQ_H2_6_1
7wjy,SEQ_H2_6_1
7ey0,SEQ_H2_6_1
7qny,SEQ_H2_6_1
7uvo,SEQ_H2_6_1
8ix3,SEQ_H2_6_1
7e9o,SEQ_H2_6_1
3wd5,SEQ_H2_6_1
5tpn,SEQ_H2_6_1
7zfd,SEQ_H2_6_1
8bbn,SEQ_H2_6_1
6rlo,SEQ_H2_6_1
8oxv,SEQ_H2_6_1
6m3b,SEQ_H2_6_1
8iow,SEQ_H2_6_1
7f3q,SEQ_H2_6_1
8cxi,SEQ_H2_6_1
8eji,SEQ_H2_6_1
8pwx,SEQ_H2_6_1
8bg1,SEQ_H2_6_1
8qrf,SEQ_H2_6_1
8ol9,SEQ_H2_6_1
4ut6,SEQ_H2_6_1
7mxl,SEQ_H2_6_1
7ws1,SEQ_H2_6_1
7rxj,SEQ_H2_6_1
7ntc,SEQ_H2_6_1
6bkd,SEQ_H2_6_2
7v3l,SEQ_H2_6_2
7q9f,SEQ_H2_6_2
4khx,SEQ_H2_6_2
7kej,SEQ_H2_6_2
7jr7,SEQ_H2_6_2
5w42,SEQ_H2_6_2
8uzp,SEQ_H2_6_2
8qrf,SEQ_H2_6_2
4hfu,SEQ_H2_6_2
8g3m,SEQ_H2_6_2
7uvs,SEQ_H2_6_2
8urf,SEQ_H2_6_2
5d1q,SEQ_H2_6_2
6wo4,SEQ_H2_6_2
7k9z,SEQ_H2_6_2
5y9j,SEQ_H2_6_2
6uyg,SEQ_H2_6_2
6cyf,SEQ_H2_6_2
6wo5,SEQ_H2_6_2
7r7n,SEQ_H2_6_2
4hj0,SEQ_H2_6_2
8thz,SEQ_H2_6_2
8r9y,SEQ_H2_6_2
6uqr,SEQ_H2_6_2
8vqf,SEQ_H2_6_2
7wh8,SEQ_H2_6_2
6vn1,SEQ_H2_6_2
4mwf,SEQ_H2_6_2
6h2y,SEQ_H2_6_2
5xmh,SEQ_H2_6_2
7y0w,SEQ_H2_6_2
9dpc,SEQ_H2_6_2
8wyj,SEQ_H2_6_2
4idj,SEQ_H2_6_2
4jhw,SEQ_H2_6_2
5udc,SEQ_H2_6_2
7sd3,SEQ_H2_6_2
6wty,SEQ_H2_6_2
6mto,SEQ_H2_6_2
6mtq,SEQ_H2_6_2
5czx,SEQ_H2_6_2
6cde,SEQ_H2_6_2
6lxj,SEQ_H2_6_2
6vy4,SEQ_H2_6_2
8xs3,SEQ_H2_6_2
6utk,SEQ_H2_6_2
6r0x,SEQ_H2_6_2
8dw9,SEQ_H2_6_2
6kz0,SEQ_H2_6_2
9bj2,SEQ_H2_6_2
8tzy,SEQ_H2_6_2
8tgv,SEQ_H2_6_2
7u9e,SEQ_H2_6_2
9gox,SEQ_H2_6_2
4kv5,SEQ_H2_6_2
8pwv,SEQ_H2_6_2
7s6j,SEQ_H2_6_2
7ru4,SEQ_H2_6_2
7woa,SEQ_H2_6_2
5gmq,SEQ_H2_6_2
7kmg,SEQ_H2_6_2
6cmg,SEQ_H2_6_2
7qf1,SEQ_H2_6_2
7cyv,SEQ_H2_6_2
7sue,SEQ_H2_6_2
8dlr,SEQ_H2_6_2
7x25,SEQ_H2_6_2
7xj6,SEQ_H2_6_2
9bj3,SEQ_H2_6_2
8zho,SEQ_H2_6_2
8g30,SEQ_H2_6_2
7dx4,SEQ_H2_6_2
7ljr,SEQ_H2_6_2
7uar,SEQ_H2_6_2
7f9w,SEQ_H2_6_2
8gto,SEQ_H2_6_2
7djz,SEQ_H2_6_2
7wi0,SEQ_H2_6_2
7ru8,SEQ_H2_6_2
8cim,SEQ_H2_6_2
8g3q,SEQ_H2_6_2
2xtj,SEQ_H2_6_2
2dd8,SEQ_H2_6_2
7wqv,SEQ_H2_6_2
6wo5,SEQ_H2_6_2
6c6z,SEQ_H2_6_2
7mf1,SEQ_H2_6_2
5vag,SEQ_H2_6_2
6yio,SEQ_H2_6_2
4xak,SEQ_H2_6_2
3ma9,SEQ_H2_6_2
5cba,SEQ_H2_6_2
2cmr,SEQ_H2_6_2
5cbe,SEQ_H2_6_2
3nps,SEQ_H2_6_2
6o41,SEQ_H2_6_2
4m8q,SEQ_H2_6_2
7kfh,SEQ_H2_6_2
4dn4,SEQ_H2_6_2
7wtf,SEQ_H2_6_2
7v5k,SEQ_H2_6_2
8dnn,SEQ_H2_6_2
8sxp,SEQ_H2_6_2
8z4e,SEQ_H2_6_2
8q5d,SEQ_H2_6_2
4hg4,SEQ_H2_6_2
5kw9,SEQ_H2_6_2
7jie,SEQ_H2_6_2
5jz7,SEQ_H2_6_2
7zr9,SEQ_H2_6_2
7y0c,SEQ_H2_6_2
4yjz,SEQ_H2_6_2
5d1x,SEQ_H2_6_2
8a95,SEQ_H2_6_2
7tht,SEQ_H2_6_2
5w4l,SEQ_H2_6_2
2xra,SEQ_H2_6_2
7zrc,SEQ_H2_6_2
2qad,SEQ_H2_6_2
8dwa,SEQ_H2_6_2
3w9e,SEQ_H2_6_2
5ggt,SEQ_H2_6_2
6p9h,SEQ_H2_6_2
7m6i,SEQ_H2_6_2
7dk0,SEQ_H2_6_2
6u0n,SEQ_H2_6_2
8byu,SEQ_H2_6_2
6v4o,SEQ_H2_6_2
7coe,SEQ_H2_6_2
8y3h,SEQ_H2_6_2
8tui,SEQ_H2_6_2
3ulu,SEQ_H2_6_3
7tl0,SEQ_H2_6_3
7ycl,SEQ_H2_6_3
7z2m,SEQ_H2_6_3
7z4t,SEQ_H2_6_3
6iuv,SEQ_H2_6_3
